"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IYR"
"2014-04-30",0.125542201229324,0.113770059721813,0,0,0,0,0.160687739048863,0.3,0,0.3,0,0,0
"2014-05-31",0.128511872489899,0.11107727724319,0.00365230415226836,0,0,0,0.156884478953032,0.3,0,0.29987406716161,0,0,0
"2014-06-30",0.127596385700373,0.110572792188627,0.0115957465851109,0,0,0,0.150448192637011,0.3,0,0.299786882888879,0,0,0
"2014-07-31",0.124855095169336,0.109027140088357,0.0241091995320547,0,0,0,0.142279060005137,0.3,0,0.299729505205115,0,0,0
"2014-08-31",0.119937245850208,0.107706833372715,0.0395984917149496,0,0,0,0.133062602676869,0.3,0,0.299694826385258,0,0,0
"2014-09-30",0.113577430755442,0.111312843017445,0.0521180793553505,0,0,0,0.123314426656585,0.3,0,0.299677220215177,0,0,0
"2014-10-31",0.108702596013252,0.118360628786335,0.0598482437758659,0,0,0,0.113416278697528,0.3,0,0.299672254372334,0,0,-1.64531448902382e-09
"2014-11-30",0.105006352490323,0.127705833300479,0.0639663320585813,0,0,0,0.10364502869564,0.3,0,0.299676456239355,0,0,-2.78437836604031e-09
"2014-12-31",0.099874569994599,0.138474746986926,0.0654007897744052,0,0,0.00144141863802427,0.0941959081926161,0.3,0,0.299687122517178,0,0,0.000925443896250612
"2015-01-31",0.0938364400421673,0.150008118715664,0.0648798798603051,0,0,0.00243932384896414,0.085201072608969,0.3,0,0.299702164703852,0,0,0.00393300022007768
"2015-02-28",0.0872923010811441,0.16069885252344,0.062971302232806,0,0,0.00657991986037461,0.0767443897920626,0.3,0,0.299719983909605,0,0,0.00599325060056741
"2015-03-31",0.0805407625094969,0.171650234823535,0.06011436080169,0,0,0.011755613409903,0.0688731697919802,0.3,0,0.29973936963894,0,0,0.00732648902445491
"2015-04-30",0.0738005304550159,0.177795303713507,0.0566460313356562,0,0,0.0222836398350705,0.0616074283767265,0.3,0,0.299759418128252,0,0,0.00810764815577189
"2015-05-31",0.0672279257188486,0.180353720853745,0.0528220528350623,0,0,0.0363946258593604,0.0549471655083678,0.3,0,0.299779466617565,0,0,0.00847504260705157
"2015-06-30",0.0612590801577618,0.179955446382892,0.048833948634399,0,0,0.05273693831795,0.0488780503065638,0.3,0,0.29979904058642,0,0,0.0085374956140139
"2015-07-31",0.0579024713460774,0.175410990782272,0.0448227273159501,0,0,0.0702900289088946,0.0433758305394364,0.3,0,0.299817811520655,0,0,0.00838013958671442
"2015-08-31",0.0541287461886921,0.168005528706508,0.0408898948378666,0,0,0.0862475434131448,0.0384097245395538,0.3,0,0.299835563218643,0,0,0.0124829990955921
"2016-04-30",0.0501456945389975,0.158726930919564,0.0371062717065082,0,0,0.101420771699898,0.0339450042783466,0.3,0,0.299852165009068,0,0,0.0188031618476169
