"","ACWI","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IFNA"
"2012-03-13",0.0162085015691393,0.0380364368453949,0.0188615059007975,0.0121386710043154,0.0123910343481399,0.0173754955206018,0.0168194092929612,0.00843689091706823,0.0141699277758605,0.00717775117240116,0.0108530826197919,0.0177831423262873,0.0186477687051316,0.00394910561499495
"2012-03-14",-0.00423998939209413,-0.00561404983276681,-0.00827743160751115,-0.00903047961975512,-0.00758537138925686,-0.0138010396406609,0.00448593473496572,-0.00937873228643227,0.000514623907061029,-0.00761005898228984,-0.00507271970429279,-0.0157211224030176,-0.00843317529541299,0.00763445741031221
"2012-03-15",0.00677538056644611,0.0139764679024217,0.0135756992314748,0.00832050443906285,0.00309728531430231,0.00524443981575518,0.00590227006775113,0.00399671391311474,0.00649574933617814,0.00316592579877017,0.00389138465846184,0.00804865072484962,0.00641568974224427,-0.00130463162666494
"2012-03-16",0.0018973337619701,0.00599632793000637,0.00218420181484102,0.00307292524046154,0.00448808607495454,0.00465940643542861,0.0011476116594471,0.000469153187117932,0.000170372263808005,0.00344234419097322,0.00236127618567927,0.00876374936071311,0.0047011503640948,0.0103897038491354
"2012-03-20",-0.00736767883893785,-0.0059742824753517,-0.0125787822068606,-0.0203509153157633,-0.0073157332469882,-0.0104051477602294,-0.00199430265528644,0.000938967205137864,-0.00767987391014913,-0.00400974330737736,-0.00656844466853279,-0.0109564407971359,-0.0121870161032436,-0.0038734715957971
"2012-03-21",-0.00465905120620658,-0.00693804818251254,-0.00349168782574871,-0.00599450302424032,-0.00169587378123026,-0.00599477254266301,-0.000713215920683297,-0.0018788168983801,0.00290822204804009,0.00200688140751648,0.00151962882768331,-0.00584012393076083,-0.00443762462316011,-0.000431313355834462
"2012-03-22",-0.00874112803709837,-0.0119062921624136,-0.012411014173733,-0.0160003413464409,-0.00595830958363086,-0.0185857805813674,-0.00214270491236057,-0.00164686544691106,-0.00462290010875677,0.000429522520741799,-0.00524402791866585,-0.0186951198655176,-0.0120462650985291,-0.00410678195265346
"2012-03-23",0.00469985911042325,0.00818622277113601,0.0039066183067451,0.00827456655967973,0.00397614837963944,0.0100943624494008,0.00157176570187545,0.000941398045518849,0.00137197757758134,0.00143041077171535,0.00169462843469592,0.0113865395098376,-0.0104421415229039,0.00216356640001081
"2012-03-27",-0.00316022595255072,-0.00669053135948205,-0.00512258712563796,-0.00381953197702556,-0.00420698979762957,-0.0087990832618341,0.00365476931977682,-0.00139729878347028,-0.00151706729475176,-0.00212299280077488,0.000667779657536727,-0.00409642923558273,0.000343701670336483,0.00956529032181397
"2012-03-28",-0.00571369663616572,-0.00464037955650243,-0.00958356026405749,-0.0210279651353305,-0.00818404455051036,-0.0180253433666664,-0.00393645946248444,-0.01007152206975,-0.010002626417589,-0.00525606721796645,-0.00351082865006358,-0.0154326505724622,-0.00620477688688315,-0.0143824662672531
