"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IFNA"
"2012-03-31",0.0164934692295717,-0.00868682366099582,-0.0397868671658466,-0.00759913979557636,-0.0298484718851442,0.0219738035607664,-0.00512739195076062,0.00775423089925642,0.00659840461224537,0.00793369130408106,-0.0120146905102114,-0.0298862056880105,0.0176918185567851
"2012-04-30",-0.0111804348849986,0.0141919572834643,-0.00326330761748617,0.00756699163434726,-0.00301351215500389,0.00186561300273169,-0.0136582500641635,0.01676755095112,0.00891026261536698,0.00881240719156029,0.00162655645615573,0.0243126814935586,0.0455036268126827
"2012-05-31",-0.141294344059247,-0.105869226897374,-0.165018011857413,-0.0875564492100387,-0.145377329009054,-0.118878761600734,-0.0399888816045251,-0.0923773387011768,-0.0537393571120779,-0.0605675414691298,-0.166750147159181,-0.125053860550521,-0.0791178844192788
"2012-06-30",0.102720875415763,0.0504660090683511,0.0733437319177037,0.0616893066046518,0.058709281547598,0.0534620707193785,0.0544610393050777,0.0397518458477699,0.0427149022890037,0.0551558321206045,0.0572896098320532,0.0858792096387915,0.0564877456642061
"2012-07-31",0.0261264077828476,0.0220503536515277,0.0285210353784477,0.0212651865006248,0.0347265704554212,0.0261297071627311,-0.00124505469734126,0.0186673900200094,0.0329619269396604,0.0174924481992882,0.0184290283059121,0.0491196332711792,-0.00253221988779728
"2012-08-31",0.0405202978258274,0.0138948594083113,0.0155379088162424,0.0110428951416019,0.0128055741881918,0.0290091011383362,0.00651229540254139,0.0315288965786005,0.0122477578476774,0.0126660286275726,0.025174608902562,0.0136762623292377,0.0168145829129469
"2012-09-30",0.0650901062429954,0.0433308474782206,0.0729857497977973,0.0376245744734978,0.0709581856038413,0.041941146099874,0.0253750806745412,0.0327403899612921,0.0181564559285512,0.0379595607882957,0.0938412687981049,0.0618281902133191,-0.0136252020863092
"2012-10-31",-0.00150875028177078,-0.0182034692035127,-0.00349990613992057,0.0036616003829355,-0.0183185938488446,-0.0623056971675409,3.62797651787261e-05,-0.0147564171848833,-0.014080361918805,-0.013584325494957,-0.017993458274419,0.00925007269769651,0.00557044087917902
"2012-11-30",-0.0244655402507132,-0.00879408417353389,-0.0179388193967136,-0.0422880546347,-0.0478966305051949,-0.0351659774982345,-0.0348674404497267,0.0137315116514518,-0.00830152024031872,-0.0171133317866969,-0.0418587738812084,-0.0074535266304423,-0.00181806419139363
"2012-12-31",0.00991234506114536,0.00636219335392907,-0.000873993949190854,0.00168626138503347,-0.0138360161693587,-0.0264488955120967,-0.00614069128353423,-0.00543006749617092,-0.0101276977119094,-0.00765296770523882,0.0175824993806595,-0.0242736822058158,-0.0169116871505217
"2013-01-31",0.0345682832150938,0.0220042404965053,-0.00202572080250008,0.0146850305798427,0.0161320923702992,-0.0069308985694887,0.0206978248864851,0.0378054811866644,0.0329895962921318,0.0545707943170877,-0.0024443041330926,-0.00268034397965433,0.0126913262426616
"2013-02-28",0.0234345292681262,0.0405150488339432,0.0421935764975321,0.0191638116722928,-0.0032760028995491,0.0247759175147797,0.0133948431234132,0.030362545033916,0.0316356599409806,0.0276444823616799,0.00597816873342349,0.0236168485150041,0.00737081787475979
"2013-03-31",0.0239628780906216,0.0218878420670023,0.017588064703741,0.0339561298154245,0.0118148518228312,0.0077466160842441,0.0398598762155982,0.0321902036029513,0.0339680195489285,0.047267276276302,0.0105183242361857,0.00619466303019145,-0.00996222800193447
"2013-04-30",0.0661928806942416,0.0409252615650031,0.0199759140660598,0.0433962115214537,0.014044956633724,0.019003268266176,0.0653698052791323,0.0530132839571014,0.0313089861848717,0.0340271539393839,0.0236872199258951,0.0984904643343141,0.0519785793655125
"2013-05-31",-0.0125755674572865,0.0106119281089034,0.00659019052038801,-0.0434665472472835,-0.0319450590251331,0.0216190700085415,-0.0333217755922313,0.0205728404866381,-0.0146904982271616,0.0100021641634171,-0.0102755103418142,-0.0987929401198193,-0.0171294041615639
"2013-06-30",-0.0420964226167744,-0.0323275239418956,-0.0462261754718156,-0.0436053008828416,-0.0729236916945997,-0.0418211811500848,-0.0333410489922876,-0.0118982972739881,-0.0359953511312998,-0.0252726000667636,-0.0887777043911968,-0.0209722762113334,-0.0397496080253634
"2013-07-31",0.0284285898408569,0.0419380165249557,0.0499781472010663,0.0263872538068268,0.0239416833666866,0.0227752217280983,0.0362163699284963,0.0411309688650912,0.0247461933518238,0.0222951036604826,0.0463252675853432,0.0204060925061733,0.02375269960931
"2013-08-31",-0.0192994657290062,-0.025908588914918,-0.0194538214236863,-0.00893442410087308,-0.00503288259777301,-0.0364973865431981,-0.00579931580867576,-0.0287079529523595,-0.0399239493907091,-0.0281133675977809,-0.0183795039021017,-0.017489599642794,-0.0434844211941958
"2013-09-30",0.029669348879064,0.0309371421027933,0.0390853210032431,0.0328983516067294,0.0154921996056792,0.00941377260465259,0.0255392194455881,0.0343736135001222,0.0175043279205793,0.0195089117476464,0.0220017353965929,0.036574349780655,0.0470387696848822
"2013-10-31",0.0532776861584439,0.0393933404430333,0.0494261517279457,0.0389805209509411,0.0292760392907305,0.0394341481540232,0.041862075005203,0.0491093637265054,0.0463085828065832,0.0410475357077473,0.0244362743105793,0.0280383965698556,0.0741868012092599
"2013-11-30",-0.00411012865198979,-0.00326813687209349,-0.0189540746845434,-0.0255041326853829,-0.0226745250493137,0.0177637474872183,-0.0342027035698864,-0.00654094730234256,-0.0108583215683966,-0.000326675193057291,-0.0108251837484348,-0.0068103760443412,-0.0820843935751432
