"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IYR"
"2014-04-30",-3.42148273455597e-08,0.151850224156753,0,0,0,0,0.248149810058074,0.3,0,0.3,0,0,0
"2014-05-31",0.00710055831096739,0.148256136011031,0.00166053730621742,0,0,0,0.242989139938991,0.3,0,0.299993628432793,0,0,0
"2014-06-30",0.012152956331089,0.14927442471117,0.00504040157724803,0,0,0,0.233543000032689,0.3,0,0.299989217347803,0,0,0
"2014-07-31",0.0225833004291267,0.146470372840591,0.00970786993835877,0,0,0,0.221252142465865,0.3,0,0.299986314326058,0,0,0
"2014-08-31",0.0317194893082594,0.144936104985766,0.0134510708739462,0,0,0,0.209908775079552,0.3,0,0.299984559752476,0,0,0
"2014-09-30",0.0375100271611708,0.145258679960795,0.0158127456059597,0,0,0,0.201434878303109,0.3,0,0.299983668968965,0,0,0
"2014-10-31",0.0407681039159495,0.145752919600585,0.0171293826482662,0,0,0,0.195769945300269,0.3,0,0.299983417722334,0,0,0.000596230812597179
"2014-11-30",0.0421358842216562,0.147075905105307,0.0176666344324439,0,0,0,0.191763974354149,0.3,0,0.299983630315637,0,0,0.00137397157080662
"2014-12-31",0.0421178835122116,0.144542044902054,0.0176331488002292,0,0,0.00258157179458831,0.190131362955306,0.3,0,0.299984169975561,0,0,0.00300981806004956
"2015-01-31",0.0411081224477641,0.139306747480741,0.0171918212457979,0,0,0.00569972878671809,0.190709222551717,0.3,0,0.299984931034428,0,0,0.00599942645283376
"2015-02-28",0.0394121841129167,0.132261197315642,0.0164689341507128,0,0,0.0148979417519183,0.188975993029473,0.3,0,0.299985832596471,0,0,0.00799791704286663
"2015-03-31",0.0372650996456493,0.125924970800764,0.0160897675629407,0,0,0.0282316222358328,0.183262237145985,0.3,0,0.299986813416715,0,0,0.00923948919211225
"2015-04-30",0.0348458237928566,0.118407909904295,0.0191253938388668,0,0,0.0428895499376471,0.174833755427134,0.3,0,0.299987827769276,0,0,0.0099097393299245
"2015-05-31",0.0322889263173576,0.11022331814045,0.0235640770402432,0.00398576659533251,0,0.0551329123078053,0.164661084955598,0.3,0,0.299988842121836,0,0,0.0101550725213777
"2015-06-30",0.0296940133007611,0.101754508223366,0.0326859192449648,0.00674514346902425,0,0.0655598248768323,0.153480389885312,0.3,0,0.299989832466052,0,0,0.0100903685336873
"2015-07-31",0.0271333001160792,0.0932826500407595,0.0424448518749827,0.0101190901046103,0,0.0753815040667134,0.141842604896876,0.3,0,0.299990782180761,0,0,0.00980521671921811
"2015-08-31",0.0246576817976721,0.0850091267256206,0.0555279964947,0.0122952509477315,0,0.0806294162898421,0.13015300487801,0.299999999836188,0,0.299991680327251,0,0,0.0117358427029851
"2015-09-30",0.0223015839058498,0.0770734295183171,0.0699906753493062,0.0135623187478897,0,0.0824784086794233,0.118702983447271,0.299999999722779,0,0.299992520294211,0,0,0.015898080334952
"2015-10-31",0.0200868254411522,0.0695674349611751,0.0821821408610998,0.0141485076758635,0,0.0878244336080542,0.107695501039529,0.299999999648143,0,0.299993298725131,0,0,0.0185018580398526
"2015-11-30",0.0180256829796551,0.0625467540069806,0.0944391178283552,0.0142333291526765,0,0.0938777163186011,0.0972653982259493,0.299689799365555,0,0.2999940146733,0,0,0.0199281874489269
"2015-12-31",0.0161233103775263,0.0560397160691968,0.107830836958789,0.0139571757922247,0,0.0959897656837004,0.0874955518747841,0.299475045332091,0,0.299994668939782,0,0,0.0230939289719058
"2016-01-31",0.0143796398073032,0.0500544471061872,0.121967373449602,0.0134291091662865,0,0.0952299959230034,0.0784296709644746,0.294599985204722,0.00710059171597633,0.299995263558037,0,0,0.0248139231044077
"2016-02-29",0.012790866445018,0.0445844155502764,0.136302588961968,0.0127331772230695,0,0.0931756758614395,0.0700823912366323,0.285760019225062,0.0191169776968594,0.299995801395769,0,0,0.0254580864039054
"2016-03-31",0.0113505999206595,0.0396127499853871,0.150440758909592,0.0119335294477942,0,0.0952619628115819,0.0624471816980794,0.272667262062701,0.0343685445187493,0.296600676823659,0,0,0.0253167338217965
"2016-04-30",0.0100507499258074,0.0351155752321731,0.164103217655297,0.0110785501661404,0,0.101601565590996,0.0555025125799893,0.256839494814792,0.046841712600102,0.294250305341293,0,0,0.0246163160837943
