"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IFNA"
"2014-02-28",0.163883801515425,0.236116280850239,0,0,0,0,-8.23656646182568e-08,0.3,0,0.3,0,0,0
"2014-03-31",0.160004894970681,0.236906698819878,0,0,0,0,0.00308840620944085,0.3,0,0.3,0,0,0
"2014-04-30",0.153440591587269,0.23785761049465,0,0,0,0,0.00870179791808148,0.3,0,0.3,0,0,0
"2014-05-31",0.151050060061899,0.232908674818134,0.0036523041522684,0,0,0,0.0125148938060885,0.3,0,0.29987406716161,0,0,0
"2014-06-30",0.145763346719784,0.2279052540994,0.011595746585111,0,0,0,0.0149487697068252,0.3,0,0.299786882888879,0,0,0
"2014-07-31",0.139462374195016,0.220361370857072,0.0241091995320548,0,0,0,0.0163375502107414,0.3,0,0.299729505205116,0,0,0
"2014-08-31",0.131650142406394,0.212111342891349,0.0395984917149497,0,0,0,0.0169451966020485,0.3,0,0.299694826385259,0,0,0
"2014-09-30",0.122940789648709,0.208284723486762,0.0521180793553506,0,0,0,0.0169791872940009,0.3,0,0.299677220215178,0,0,0
"2014-10-31",0.116162123588256,0.207715730339412,0.059848243775866,0,0,0,0.0166016495694461,0.3,0,0.299672254372334,0,0,-1.64531448902382e-09
"2014-11-30",0.110926225036866,0.209492587782093,0.0639663320585815,0,0,0,0.0159384016674815,0.3,0,0.299676456239356,0,0,-2.78437836604031e-09
"2014-12-31",0.104551970655759,0.212906962926685,0.0654007897744054,0,0,0.00144141863802467,0.0150862915916966,0.3,0,0.299687122517179,0,0,0.000925443896250671
"2015-01-31",0.0975135525330539,0.217412949878361,0.0648798798603052,0,0,0.00243932384896482,0.0141191289553844,0.3,0,0.299702164703853,0,0,0.00393300022007778
"2015-02-28",0.09016619866927,0.221476861895158,0.0629713022328061,0,0,0.00657991986037548,0.0130924828322169,0.3,0,0.299719983909606,0,0,0.00599325060056754
"2015-03-31",0.0827715559935603,0.226245063160789,0.0601143608016901,0,0,0.0117556141236865,0.0120475472568788,0.3,0,0.299739369638941,0,0,0.00732648902445506
