"","Portfolio","Benchmark"
"Total Return",0.0406712185011313,0.0354220525628293
"Mean Return",0.00312855526931779,0.00272477327406379
"StandardDev Return",0.0183804339580247,0.0183902162968563
"Maximum Loss",-0.0236175713123152,-0.0286906716260447
