"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IYR"
"2014-03-31",0.100000024999553,0,0,0,0,0,0.299999975000447,0.3,0,0.3,0,0,0
"2014-04-30",0.0976331596927042,0.00359408814572197,0,0,0,0,0.298772752161574,0.3,0,0.3,0,0,0
"2014-05-31",0.100728287853062,0.00608230301583717,0.00166053730621742,0,0,0,0.291535243392091,0.3,0,0.299993628432793,0,0,0
"2014-06-30",0.100696827255513,0.014820437851462,0.00504040157724803,0,0,0,0.279453115967973,0.3,0,0.299989217347803,0,0,0
"2014-07-31",0.105391535990025,0.0207259559798925,0.00970786993835877,0,0,0,0.264188323765665,0.3,0,0.299986314326058,0,0,0
"2014-08-31",0.108461187465429,0.0284037333163275,0.0134510708739462,0,0,0,0.249699448591821,0.3,0,0.299984559752476,0,0,0
"2014-09-30",0.108091856569939,0.0380800772547895,0.0158127456059597,0,0,0,0.238031651600347,0.3,0,0.299983668968965,0,0,0
"2014-10-31",0.105269037252578,0.0478081657430967,0.0171293826482662,0,0,0,0.229213765821129,0.3,0,0.299983417722334,0,0,0.000596230812597179
"2014-11-30",0.100756390587424,0.0580605874969348,0.0176666344324439,0,0,0,0.222158785596754,0.3,0,0.299983630315637,0,0,0.00137397157080662
"2014-12-31",0.095140675742256,0.0640268637231282,0.0176331488002292,0,0,0.00258157179458831,0.217623751904188,0.3,0,0.299984169975561,0,0,0.00300981806004956
"2015-01-31",0.0888681065160174,0.0667831475602695,0.0171918212457979,0,0,0.00569972878671809,0.215472838403935,0.3,0,0.299984931034428,0,0,0.00599942645283376
"2015-02-28",0.0822737082767338,0.0671759153357312,0.0164689341507128,0,0,0.0148979417519183,0.211199750845566,0.3,0,0.299985832596471,0,0,0.00799791704286663
"2015-03-31",0.0756049685130637,0.0677058284582949,0.0160897675629407,0,0,0.0282316222358328,0.20314151062104,0.3,0,0.299986813416715,0,0,0.00923948919211225
"2015-04-30",0.0690408419719019,0.0664827288961472,0.0191253938388668,0,0,0.0428895499376471,0.192563918256237,0.3,0,0.299987827769276,0,0,0.0099097393299245
"2015-05-31",0.0627069799638061,0.0640334628452332,0.0235640770402432,0.00398576659533251,0,0.0551329123078053,0.180432886604366,0.3,0,0.299988842121836,0,0,0.0101550725213777
"2015-06-30",0.0566878958050203,0.060764261404159,0.0326859192449648,0.00674514346902425,0,0.0655598248768323,0.16747675420026,0.3,0,0.299989832466052,0,0,0.0100903685336873
"2015-07-31",0.0510366486663625,0.0569853831793862,0.0424448518749827,0.0101190901046103,0,0.0753815040667134,0.154236523207965,0.3,0,0.299990782180761,0,0,0.00980521671921811
"2015-08-31",0.0457825214566403,0.0529310293455693,0.0555279964947,0.0122952509477315,0,0.0806294162898421,0.141106262599093,0.299999999836188,0,0.299991680327251,0,0,0.0117358427029851
"2015-09-30",0.0409370807572146,0.0487754025332964,0.0699906753493062,0.0135623187478897,0,0.0824784086794233,0.128365513580927,0.299999999722779,0,0.299992520294211,0,0,0.015898080334952
"2015-10-31",0.0364989349130763,0.0446456246965023,0.0821821408610998,0.0141485076758635,0,0.0878244336080542,0.116205201832277,0.299999999648143,0,0.299993298725131,0,0,0.0185018580398526
"2015-11-30",0.0324574474172595,0.0406321003353301,0.0944391178283552,0.0142333291526765,0,0.0938777163186011,0.104748287459995,0.299689799365555,0,0.2999940146733,0,0,0.0199281874489269
"2015-12-31",0.0287956144192544,0.0367968053705777,0.107830836958789,0.0139571757922247,0,0.0959897656837004,0.094066158531675,0.299475045332091,0,0.299994668939782,0,0,0.0230939289719058
"2016-01-31",0.0254922756592802,0.0331798946473981,0.121967373449602,0.0134291091662865,0,0.0952299959230034,0.0841915875712867,0.294599985204722,0.00710059171597633,0.299995263558037,0,0,0.0248139231044077
"2016-02-29",0.0225237958214459,0.0298049492267217,0.136302588961968,0.0127331772230695,0,0.0931756758614395,0.0751289281837592,0.285760019225062,0.0191169776968594,0.299995801395769,0,0,0.0254580864039054
"2016-03-31",0.0198653269240273,0.0266831256006345,0.150440758909592,0.0119335294477942,0,0.0952619628115819,0.0668620790794642,0.272667262062701,0.0343685445187493,0.296600676823659,0,0,0.0253167338217965
"2016-04-30",0.0174917408631767,0.0238164205050185,0.164103217655297,0.0110785501661404,0,0.101601565590996,0.0593606763697745,0.256839494814792,0.046841712600102,0.294250305341293,0,0,0.0246163160837943
