"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IYR"
"2014-04-30",0.1255422469644,0.113770014130048,0,0,0,0,0.160687738905552,0.3,0,0.3,0,0,0
"2014-05-31",0.128511917142488,0.11107723273052,0.00365230415226836,0,0,0,0.156884478813113,0.3,0,0.29987406716161,0,0,0
"2014-06-30",0.127596428521061,0.110572749502118,0.0115957465851109,0,0,0,0.150448192502831,0.3,0,0.299786882888879,0,0,0
"2014-07-31",0.124855135664919,0.109027099719668,0.0241091995320547,0,0,0,0.142279059878243,0.3,0,0.299729505205115,0,0,0
"2014-08-31",0.119937283722595,0.107706795619002,0.0395984917149496,0,0,0,0.133062602558195,0.3,0,0.299694826385258,0,0,0
"2014-09-30",0.113577465853296,0.111312808029571,0.0521180793553505,0,0,0,0.123314426546606,0.3,0,0.299677220215177,0,0,0
"2014-10-31",0.108702628293886,0.118360596606853,0.0598482437758659,0,0,0,0.113416278596376,0.3,0,0.299672254372334,0,0,-1.64531448902382e-09
"2014-11-30",0.105006381989856,0.127705803893383,0.0639663320585813,0,0,0,0.103645028603203,0.3,0,0.299676456239355,0,0,-2.78437836604031e-09
"2014-12-31",0.0998745968047163,0.138474720260819,0.0654007897744052,0,0,0.00144141863802427,0.0941959081086061,0.3,0,0.299687122517178,0,0,0.000925443896250612
"2015-01-31",0.0938364642921673,0.150008094541652,0.0648798798603051,0,0,0.00243932384896414,0.0852010725329812,0.3,0,0.299702164703852,0,0,0.00393300022007768
"2015-02-28",0.0872923229241963,0.160698830748834,0.062971302232806,0,0,0.00657991986037461,0.0767443897236171,0.3,0,0.299719983909605,0,0,0.00599325060056741
"2015-03-31",0.080540782112236,0.171650215282221,0.06011436080169,0,0,0.011755613409903,0.0688731697305548,0.3,0,0.29973936963894,0,0,0.00732648902445491
"2015-04-30",0.0738005479897737,0.177795286233694,0.0566460313356562,0,0,0.0222836398350705,0.061607428321781,0.3,0,0.299759418128252,0,0,0.00810764815577189
"2015-05-31",0.0672279413579569,0.180353705263642,0.0528220528350623,0,0,0.0363946258593604,0.0549471654593624,0.3,0,0.299779466617565,0,0,0.00847504260705157
"2015-06-30",0.0612590940694735,0.179955432514772,0.048833948634399,0,0,0.05273693831795,0.0488780502629713,0.3,0,0.29979904058642,0,0,0.0085374956140139
"2015-07-31",0.0579024836917428,0.175410978475292,0.0448227273159501,0,0,0.0702900289088946,0.0433758305007511,0.3,0,0.299817811520655,0,0,0.00838013958671442
"2015-08-31",0.0541287571209003,0.168005517808556,0.0408898948378666,0,0,0.0862475434131448,0.0384097245052976,0.3,0,0.299835563218643,0,0,0.0124829990955921
"2016-04-30",0.0501457042004533,0.158726921288383,0.0371062717065082,0,0,0.101420771699898,0.0339450042480723,0.3,0,0.299852165009068,0,0,0.0188031618476169
