"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IYR"
"2012-03-31",0.0164934692295717,-0.00868682366099582,-0.0397868671658466,-0.00759913979557636,-0.0298484718851442,0.0219738035607664,-0.00512739195076062,0.00775423089925642,0.00659840461224537,0.00793369130408106,-0.0120146905102114,-0.0298862056880105,0.0145272280621302
"2012-04-30",-0.0111804348849986,0.0141919572834643,-0.00326330761748617,0.00756699163434726,-0.00301351215500389,0.00186561300273169,-0.0136582500641635,0.01676755095112,0.00891026261536698,0.00881240719156029,0.00162655645615573,0.0243126814935586,0.0288835106347234
"2012-05-31",-0.141294344059247,-0.105869226897374,-0.165018011857413,-0.0875564492100387,-0.145377329009054,-0.118878761600734,-0.0399888816045251,-0.0923773387011768,-0.0537393571120779,-0.0605675414691298,-0.166750147159181,-0.125053860550521,-0.0703127112411703
"2012-06-30",0.102720875415763,0.0504660090683511,0.0733437319177037,0.0616893066046518,0.058709281547598,0.0534620707193785,0.0544610393050777,0.0397518458477699,0.0427149022890037,0.0551558321206045,0.0572896098320532,0.0858792096387915,0.0683802616888398
"2012-07-31",0.0261264077828476,0.0220503536515277,0.0285210353784477,0.0212651865006248,0.0347265704554212,0.0261297071627311,-0.00124505469734126,0.0186673900200094,0.0329619269396604,0.0174924481992882,0.0184290283059121,0.0491196332711792,0.000474077861371214
"2012-08-31",0.0405202978258274,0.0138948594083113,0.0155379088162424,0.0110428951416019,0.0128055741881918,0.0290091011383362,0.00651229540254139,0.0315288965786005,0.0122477578476774,0.0126660286275726,0.025174608902562,0.0136762623292377,0.00487248276771979
"2012-09-30",0.0650901062429954,0.0433308474782206,0.0729857497977973,0.0376245744734978,0.0709581856038413,0.041941146099874,0.0253750806745412,0.0327403899612921,0.0181564559285512,0.0379595607882957,0.0938412687981049,0.0618281902133191,-0.0112055557356241
"2012-10-31",-0.00150875028177078,-0.0182034692035127,-0.00349990613992057,0.0036616003829355,-0.0183185938488446,-0.0623056971675409,3.62797651787261e-05,-0.0147564171848833,-0.014080361918805,-0.013584325494957,-0.017993458274419,0.00925007269769651,-0.00620031451918646
"2012-11-30",-0.0244655402507132,-0.00879408417353389,-0.0179388193967136,-0.0422880546347,-0.0478966305051949,-0.0351659774982345,-0.0348674404497267,0.0137315116514518,-0.00830152024031872,-0.0171133317866969,-0.0418587738812084,-0.0074535266304423,-0.0166706237548881
"2012-12-31",0.0362558717689732,0.0251635138069046,0.0337150236330164,0.0169278773536505,-0.000660084419731533,-0.0130816981096373,-9.39924875575926e-05,0.00938501828897031,-0.0124131057107499,-0.00581529490630395,0.03040422822518,-0.00801316133403551,0.00154870724152723
"2013-01-31",0.0345682832150938,0.0220042404965053,-0.00202572080250008,0.0146850305798427,0.0161320923702992,-0.0069308985694887,0.0206978248864851,0.0378054811866644,0.0329895962921318,0.0545707943170877,-0.0024443041330926,-0.00268034397965433,0.0142361216812894
"2013-02-28",0.0192856015783187,0.0398316500611386,0.0359623936362117,0.0238426515734607,-0.00873288459273835,0.0227351640804523,0.0189221635564416,0.0280445231629853,0.0392273961628762,0.0264966854441617,-0.00432506122109899,0.0196680178882152,0.0237481565714548
"2013-03-31",0.0320843744281225,0.0280572373994161,0.0101150215345651,0.0314546409483989,0.004955442271938,0.0148872577444301,0.0436102161044527,0.0391003955603475,0.0436869436726539,0.0575912003719878,0.00444373387881392,0.0239559381814294,0.0203045190368947
"2013-04-30",0.0661928806942416,0.0409252615650031,0.0199759140660598,0.0433962115214537,0.014044956633724,0.019003268266176,0.0653698052791323,0.0530132839571014,0.0313089861848717,0.0340271539393839,0.0236872199258951,0.0984904643343141,0.0593805956395759
"2013-05-31",-0.0180082544705131,0.00526908369840839,-0.000209473030942764,-0.0536189187113014,-0.0309309630047507,0.021209653421451,-0.0428069415562859,0.00862132794075432,-0.0301320688546145,-0.00421699553687649,-0.00942393914158313,-0.114087355897971,-0.0620426216570671
"2013-06-30",-0.0420964226167744,-0.0323275239418956,-0.0462261754718156,-0.0436053008828416,-0.0729236916945997,-0.0418211811500848,-0.0333410489922876,-0.0118982972739881,-0.0359953511312998,-0.0252726000667636,-0.0887777043911968,-0.0209722762113334,-0.0220711276691077
"2013-07-31",0.026248732043924,0.0303455214457218,0.030279672807572,0.0237876546647491,0.0192026718168012,0.0211239019132323,0.0381682798988163,0.0437916828066527,0.0199212249537375,0.0337705019530912,0.0340253105536639,0.0106168043863235,0.0157416289719876
"2013-08-31",-0.000276329555171539,-0.0124444706937936,-0.012171946747348,-7.90971221555914e-05,0.0123909119149164,-0.00772004078429234,-0.0108149932387418,-0.0198412480574506,-0.0277809524310477,-0.025547292928854,0.0150582354601072,-0.00597477701963189,-0.0412640201400674
"2013-09-30",0.0388847480355721,0.0438305450297909,0.0479310625829212,0.0412209080465602,0.0240961601582694,0.0225823625920949,0.0311602221833294,0.0484889432883824,0.0259387494734025,0.0272772209092595,0.0168854293174077,0.042329857029757,0.020210338415164
"2013-10-31",0.0532776861584439,0.0393933404430333,0.0494261517279457,0.0389805209509411,0.0292760392907305,0.0394341481540232,0.041862075005203,0.0491093637265054,0.0463085828065832,0.0410475357077473,0.0244362743105793,0.0280383965698556,0.0446919619161248
"2013-11-30",0.0157999910130266,0.0183963069613355,-0.016070101131314,-0.0118180149735179,-0.0154367221159508,0.0326607574117199,-0.0175358008702178,0.0262591016178089,-0.000709036298478516,0.0294945830525357,-0.0108559126388377,-0.00321172238774814,-0.027542526168812
