"","Portfolio","Benchmark"
"Total Return",-0.00748552255617278,-0.0386059966547494
"Mean Return",-0.000575809427397906,-0.00296969205036534
"StandardDev Return",0.0205726732906474,0.0217930989559299
"Maximum Loss",-0.0355709459069894,-0.0403550757057642
