"","IXG","EXI","FLM","IGF","GNR","IXN","JXI","RXI","KXI","IXJ","MXI","IFGL","IYR"
"2014-03-31",0.0770231128438694,0.0229768871561307,0,0,0,0,0.3,0.3,0,0.3,0,0,0
"2014-04-30",0.0752000797773914,0.0260271436531868,0,0,0,0,0.298772776569422,0.3,0,0.3,0,0,0
"2014-05-31",0.079215539421454,0.0275950280409445,0.00166053730621742,0,0,0,0.291535266798591,0.3,0,0.299993628432793,0,0,0
"2014-06-30",0.0803521918609158,0.0351650511105001,0.00504040157724803,0,0,0,0.279453138103533,0.3,0,0.299989217347803,0,0,0
"2014-07-31",0.0863647717141063,0.0397526995541346,0.00970786993835877,0,0,0,0.264188344467342,0.3,0,0.299986314326058,0,0,0
"2014-08-31",0.0908283253342662,0.0460365762624201,0.0134510708739462,0,0,0,0.249699467776892,0.3,0,0.299984559752476,0,0,0
"2014-09-30",0.0918743412319129,0.054297574947684,0.0158127456059597,0,0,0,0.238031669245479,0.3,0,0.299983668968965,0,0,0
"2014-10-31",0.0904487232359815,0.0626284636347571,0.0171293826482662,0,0,0,0.229213781946064,0.3,0,0.299983417722334,0,0,0.000596230812597179
"2014-11-30",0.0872872163102322,0.0715297471192701,0.0176666344324439,0,0,0,0.22215880025161,0.3,0,0.299983630315637,0,0,0.00137397157080662
"2014-12-31",0.0829576825631518,0.0762098436467789,0.0176331488002292,0,0,0.00258157179458831,0.217623765159641,0.3,0,0.299984169975561,0,0,0.00300981806004956
"2015-01-31",0.077894343429132,0.0777568987073793,0.0171918212457979,0,0,0.00569972878671809,0.215472850343711,0.3,0,0.299984931034428,0,0,0.00599942645283376
"2015-02-28",0.0724254593526059,0.0770241535446758,0.0164689341507128,0,0,0.0148979417519183,0.211199761560749,0.3,0,0.299985832596471,0,0,0.00799791704286663
"2015-03-31",0.0667956557391734,0.0765151316473948,0.0160897675629407,0,0,0.0282316222358328,0.203141520205831,0.3,0,0.299986813416715,0,0,0.00923948919211225
"2015-04-30",0.0611838873357295,0.0743396749837228,0.0191253938388668,0,0,0.0428895499376471,0.192563926804834,0.3,0,0.299987827769276,0,0,0.0099097393299245
"2015-05-31",0.0557178546365601,0.0710225805681061,0.0235640770402432,0.00398576659533251,0,0.0551329123078053,0.180432894208739,0.3,0,0.299988842121836,0,0,0.0101550725213777
"2015-06-30",0.0504855388072954,0.0669666116535379,0.0326859192449648,0.00674514346902425,0,0.0655598248768323,0.167476760948606,0.3,0,0.299989832466052,0,0,0.0100903685336873
"2015-07-31",0.0455444005198977,0.0624776253501242,0.0424448518749827,0.0101190901046103,0,0.0753815040667134,0.154236529183692,0.3,0,0.299990782180761,0,0,0.00980521671921811
"2015-08-31",0.0409286884793372,0.05778485704176,0.0555279964947,0.0122952509477315,0,0.0806294162898421,0.141106267880205,0.299999999836188,0,0.299991680327251,0,0,0.0117358427029851
"2015-09-30",0.0366552215513777,0.0530572570803451,0.0699906753493062,0.0135623187478897,0,0.0824784086794233,0.128365518239715,0.299999999722779,0,0.299992520294211,0,0,0.015898080334952
"2015-10-31",0.0327279411697882,0.0484166143368388,0.0821821408610998,0.0141485076758635,0,0.0878244336080542,0.116205205935229,0.299999999648143,0,0.299993298725131,0,0,0.0185018580398526
"2015-11-30",0.0291414755434481,0.043948068601267,0.0944391178283552,0.0142333291526765,0,0.0938777163186011,0.10474829106787,0.299689799365555,0,0.2999940146733,0,0,0.0199281874489269
"2015-12-31",0.0258839119756319,0.0397085046461827,0.107830836958789,0.0139571757922247,0,0.0959897656837004,0.0940661616996926,0.299475045332091,0,0.299994668939782,0,0,0.0230939289719058
"2016-01-31",0.0229389365933343,0.0357332309352363,0.121967373449602,0.0134291091662865,0,0.0952299959230034,0.0841915903493943,0.294599985204722,0.00710059171597633,0.299995263558037,0,0,0.0248139231044077
"2016-02-29",0.0202874705126755,0.0320412721023047,0.136302588961968,0.0127331772230695,0,0.0931756758614395,0.0751289306169466,0.285760019225062,0.0191169776968594,0.299995801395769,0,0,0.0254580864039054
"2016-03-31",0.0179089067386493,0.02863954365737,0.150440758909592,0.0119335294477942,0,0.0952619628115819,0.0668620812081066,0.272667262062701,0.0343685445187493,0.296600676823659,0,0,0.0253167338217965
"2016-04-30",0.0157820319243785,0.0255261275836033,0.164103217655297,0.0110785501661404,0,0.101601565590996,0.0593606782299879,0.256839494814792,0.046841712600102,0.294250305341293,0,0,0.0246163160837943
